BYLINE,DATE,DATELINE,HEADLINE,LENGTH,PUBLICATION,SECTION,TITLE,SUBJECT
RACHEL SALTZ,"January 31, 2016 Sunday 00:00 EST",,"Review: In 'Saala Khadoos,' a Female Boxer Rises From the Streets in India",347 words,The New York Times,MOVIES,,FILM (90%); BOXING (89%); COACHES & TRAINERS (78%); SPORTS & RECREATION EVENTS (77%); SLUM DWELLINGS (71%)
THE NEW YORK TIMES,"January 31, 2016 Sunday 03:00 EST",,Seeking Applications for the 2016 New York Portfolio Review; Lens,1171 words,The New York Times(Lens),MULTIMEDIA,,PHOTOGRAPHY (92%); VISUAL ARTISTS (90%); PHOTO & VIDEO SHARING (90%); PHOTOJOURNALISM (89%); MUSEUMS & GALLERIES (78%); PUBLISHING (75%); JOURNALISM (75%); GRADUATE & PROFESSIONAL SCHOOLS (70%); BOOK PUBLISHING (69%); MANAGERS & SUPERVISORS (61%)
JESSICA BENNETT,"January 30, 2016 Saturday 00:00 EST",,She? Ze? They? What's In a Gender Pronoun; Command Z,1635 words,The New York Times,FASHION,,LANGUAGE & LANGUAGES (90%); GENDER IDENTITY (90%); HUMANITIES & SOCIAL SCIENCE (90%); LINGUISTICS (90%); TRANSGENDER PERSONS (89%); TRENDS (89%); GENDER IDENTITY DISORDER (89%); MEN (77%); GAYS & LESBIANS (74%); LITERATURE (65%); COLLEGE & UNIVERSITY PROFESSORS (65%); ENTERTAINMENT & ARTS AWARDS (62%)
SHERI FINK,"January 29, 2016 Friday 00:00 EST",,Drug Shortages Forcing Hard Decisions on Rationing Treatments,2447 words,The New York Times,US,,SHORTAGES (90%); PHARMACEUTICALS ASSOCIATIONS (90%); DRUG SHORTAGES (90%); HOSPITALS (90%); PHYSICIANS & SURGEONS (90%); SURGERY & TRANSPLANTATION (90%); PHARMACEUTICALS INDUSTRY (90%); PHARMACISTS (90%); ACADEMIC MEDICAL CENTERS (90%); ETHICS (89%); ONCOLOGY (89%); DISEASES & DISORDERS (89%); PEDIATRICS (89%); CANCER (89%); PROFESSIONAL WORKERS (88%); PHARMACEUTICALS PRODUCT DEVELOPMENT (88%); ANESTHESIOLOGY (78%); MEDICAL RESEARCH (78%); LEUKEMIA (78%); CLINICAL TRIALS (78%); CANCER DRUGS (78%); PHARMACEUTICAL PREPARATION MFG (76%); BIOETHICS (75%); ANTIBIOTICS (73%); CANCER HOSPITALS (73%); CHILDREN (72%); CHILDREN'S HOSPITALS (69%); RESEARCH INSTITUTES (67%)
JOE NOCERA,"January 29, 2016 Friday 00:00 EST",,"After Settlement, Florida State Shows Sympathy for Victim: Itself; Sports Business",1927 words,The New York Times,SPORTS; ncaafootball,,SEXUAL ASSAULT (91%); LITIGATION (91%); SEX OFFENSES (90%); LEGISLATIVE BODIES (90%); COLLEGES & UNIVERSITIES (90%); DISCRIMINATION LAW (90%); US REPUBLICAN PARTY (90%); ATHLETES (90%); SUITS & CLAIMS (90%); STUDENTS & STUDENT LIFE (90%); SPORTS REGULATION & POLICY (89%); TESTIMONY (89%); AMERICAN FOOTBALL (89%); SPORTS (89%); SPORTS BUSINESS (86%); POLITICAL PARTIES (78%); UNIVERSITY ADMINISTRATION (78%); SETTLEMENT & COMPROMISE (76%); SPORTS AWARDS (76%); SPORTS & RECREATION EVENTS (75%); GENDER EQUALITY (74%); INVESTIGATIONS (74%); WOMEN (74%); LAWYERS (73%); POLICE FORCES (70%)
BEN RATLIFF,"January 29, 2016 Friday 00:00 EST",,Popcast: A New Identity for R&B; Popcast,235 words,The New York Times,ARTS; music,,JAZZ & BLUES (93%); MUSIC (90%); SINGERS & MUSICIANS (90%); HIP HOP CULTURE (89%); RAP MUSIC (89%); POP & ROCK (78%); MUSIC REVIEWS (78%); PODCASTING (78%); CELEBRITIES (72%)
ISABEL WILKINSON,"January 29, 2016 Friday 00:00 EST",,Making a Haute Couture Look: Chanel; Making It,14 words,The New York Times,T-MAGAZINE; fashion,,HAUTE COUTURE (95%); WOMEN'S CLOTHING (90%); FASHION DESIGNERS (90%); FASHION & APPAREL (90%); FASHION SHOWS (85%)
ANDY WEBSTER,"January 29, 2016 Friday 00:00 EST",,Review: 'Fifty Shades of Black' Sells Sex With (Intentional) Laughs,384 words,The New York Times,MOVIES,,DRAMA LITERATURE (90%); BESTSELLERS (90%); PRIMARY SCHOOLS (89%); NOVELS & SHORT STORIES (78%); MOVIE RATINGS (76%); MOVIE RELEASE DATES (76%); HORROR FILMS (76%); CONTENT RATINGS (75%); SEXUAL DYSFUNCTION (67%); US PRESIDENTIAL CANDIDATES 2016 (63%)
GLENN KENNY,"January 29, 2016 Friday 00:00 EST",,"Review: In 'Jane Got a Gun,' Clear Skies, Followed by a Hail of Bullets",352 words,The New York Times,MOVIES,,FILM (90%); FILM DIRECTORS (90%); SHOOTINGS (89%); MOVIE RATINGS (77%); VISUAL ARTISTS (77%); CINEMATOGRAPHY (72%); FEMINISM & WOMEN'S RIGHTS (71%); INSOLVENCY & BANKRUPTCY (55%)
KEN JAWOROWSKI,"January 28, 2016 Thursday 00:00 EST",,"Review: In 'Mountain Men,' Two Brothers Are Forced to Work Things Out",257 words,The New York Times,MOVIES,,PREGNANCY & CHILDBIRTH (76%); CONTROLLED SUBSTANCES CRIME (71%); WEDDINGS & ENGAGEMENTS (70%)
DANIEL M. GOLD,"January 28, 2016 Thursday 00:00 EST",,Review: Noam Chomsky Focuses on Financial Inequality in 'Requiem for the American Dream',339 words,The New York Times,MOVIES,,DOCUMENTARY FILMS (90%); HUMANITIES & SOCIAL SCIENCE (90%); COLLEGE & UNIVERSITY PROFESSORS (78%); LINGUISTICS (78%); TYPES OF GOVERNMENT (77%); US PRESIDENTIAL CANDIDATES 2016 (77%); CAMPAIGNS & ELECTIONS (77%); POLITICS (77%); INTERVIEWS (77%); DEMOCRACIES (72%); FILM DIRECTORS (72%); TRENDS (67%)
STEPHEN HOLDEN,"January 28, 2016 Thursday 00:00 EST",,"Review: 'The Finest Hours' Stars Chris Pine, Leading a Mission Against All Odds",599 words,The New York Times,MOVIES,,FILM (90%); SEVERE WEATHER (90%); ACTION & ADVENTURE FILMS (89%); FILM GENRES (78%); DRAMA FILMS (78%); ACTORS & ACTRESSES (78%); FILM DIRECTORS (78%); VISUAL ARTISTS (73%); WORLD WAR II (66%)
NEIL GENZLINGER,"January 28, 2016 Thursday 00:00 EST",,"Review: 'JeruZalem,' Through Glasses, Darkly",323 words,The New York Times,MOVIES,,HORROR FILMS (90%); WEARABLE TECHNOLOGY (90%); RELIGION (77%); MOVIE INDUSTRY (77%); CONTENT RATINGS (73%); MOVIE RATINGS (71%); COMPUTER GAMES (68%); VISUAL ARTISTS (66%)
NEIL GENZLINGER,"January 28, 2016 Thursday 00:00 EST",,"In 'Kung Fu Panda 3,' a New Dad Who Talks Like Bryan Cranston",428 words,The New York Times,MOVIES,,MAMMALS (90%); FILM (90%); ADULTS (85%); MARTIAL ARTS (78%); ACTORS & ACTRESSES (76%); FILM DIRECTORS (75%); FAMILY (75%); MOVIE RATINGS (69%); CONTENT RATINGS (69%); ANIMATION (64%)
NEIL GENZLINGER,"January 28, 2016 Thursday 00:00 EST",,"Review: In 'Lazer Team,' Bickering Losers Try to Save the World",261 words,The New York Times,MOVIES,,MOVIE RATINGS (77%); CONTENT RATINGS (77%); COURTSHIP & DATING (72%); SHERIFFS (68%); CROWDFUNDING (64%); HIGH SCHOOL SPORTS (53%); CROWDSOURCING (50%)
A. O. SCOTT,"January 28, 2016 Thursday 00:00 EST",,"Review: Amos Gitai's 'Rabin, the Last Day' Looks Back in Anguish",1202 words,The New York Times,MOVIES,,PRIME MINISTERS (92%); ASSASSINATION (91%); HEADS OF STATE & GOVERNMENT (91%); INVESTIGATIONS (90%); MURDER (89%); INTERROGATION OF SUSPECTS (89%); FILM (88%); PALESTINE LIBERATION ORGANIZATION (78%); APPOINTMENTS (78%); JEWS & JUDAISM (78%); DOCUMENTARY FILMS (77%); CLERGY & RELIGIOUS VOCATIONS (73%); ARSON (73%); POLITICAL PARTIES (70%); RELIGION (60%); MOBILE & CELLULAR TELEPHONES (50%)
BRIAN X. CHEN,"January 27, 2016 Wednesday 00:00 EST",,"Siri, Alexa and Other Virtual Assistants Put to the Test; Tech Fix",1289 words,The New York Times,TECHNOLOGY; personaltech,,INTELLIGENT PERSONAL ASSISTANTS (91%); INTERNET SOCIAL NETWORKING (90%); AMERICAN FOOTBALL (90%); SPORTS (90%); VOICE RECOGNITION (90%); SPORTS & RECREATION EVENTS (89%); VOICE COMMAND DEVICES (89%); ARTIFICIAL INTELLIGENCE (74%); TALKS & MEETINGS (74%); SMARTPHONES (74%); MOBILE & CELLULAR TELEPHONES (74%); PATTERN RECOGNITION (73%); INTERIM FINANCIAL RESULTS (71%); COMPANY EARNINGS (71%); GRADES & GRADING (66%); CONSUMERS (64%); COMMUTING (64%)
JOHN HODGMAN,"January 27, 2016 Wednesday 00:00 EST",,Judge John Hodgman on the Church of the Flying Spaghetti Monster; Judge John Hodgman,176 words,The New York Times,MAGAZINE,,RELIGION (94%); DECISIONS & RULINGS (90%); SETTLEMENTS & DECISIONS (90%); DRIVERS LICENSES (78%); LICENSES & PERMITS (73%); CREATIONISM (72%); FREEDOM OF SPEECH (67%); FREEDOM OF EXPRESSION (52%); AVIATION SECURITY (51%)
NICHOLAS CASEY and PATRICIA TORRES,"January 26, 2016 Tuesday 00:00 EST",,"Foes May Hate Hugo Chávez, but They Like His Political Playbook",1707 words,The New York Times,WORLD; americas,,LEGISLATIVE BODIES (90%); ECONOMIC NEWS (86%); POLITICS (78%); DEEDS & RECORDINGS (77%); HOUSING ASSISTANCE (76%); PUBLIC POLICY (76%); PETROLEUM PRODUCTS (72%); SLUM DWELLINGS (71%); PUBLIC HOUSING (71%); INFLATION (70%); OIL & GAS PRICES (67%); INTERNATIONAL ECONOMIC ORGANIZATIONS (66%); FOOD CRISES & SHORTAGES (50%)
ISABEL WILKINSON,"January 26, 2016 Tuesday 00:00 EST",,Making a Haute Couture Look: Dior; Making It,114 words,The New York Times,T-MAGAZINE; fashion,,FASHION & APPAREL (92%); HAUTE COUTURE (92%); FASHION DESIGNERS (91%); FASHION SHOWS (90%); WOMEN'S CLOTHING (90%)
SAM SIFTON,"January 25, 2016 Monday 00:00 EST",,The Improbable Rise of Mississippi Roast,1758 words,The New York Times,DINING,,COOKING & ENTERTAINING (91%); BLOGS & MESSAGE BOARDS (89%); INTERVIEWS (77%); INTERNET SOCIAL NETWORKING (77%); CELEBRITIES (72%); NON FICTION LITERATURE (71%); WRITERS (71%); MARRIAGE (71%); CHRISTIANS & CHRISTIANITY (68%); RELIGION (63%)
MARK MAZZETTI and MATT APUZZO,"January 23, 2016 Saturday 00:00 EST",,U.S. Relies Heavily on Saudi Money to Support Syrian Rebels,2194 words,The New York Times,WORLD; middleeast,,ESPIONAGE (91%); INTELLIGENCE SERVICES (91%); 2011 SYRIAN UPRISING (90%); MILITARY WEAPONS (90%); SYRIAN CRISIS (90%); INTERNATIONAL RELATIONS (90%); MUSLIMS & ISLAM (89%); US PRESIDENTS (89%); REBELLIONS & INSURGENCIES (89%); INTERVIEWS (78%); MILITARY TRAINING (75%); FIREARMS (74%); SCANDALS (72%); OIL & GAS PRICES (69%); RELIGION (67%); ENERGY & UTILITY POLICY (64%); TERRORIST ORGANIZATIONS (62%); HUMAN RIGHTS VIOLATIONS (61%); TERRORISM (50%)
BEN RATLIFF,"January 22, 2016 Friday 00:00 EST",,Popcast: The Rise of Tropical House; Popcast,169 words,The New York Times,ARTS; music,,MUSIC (90%); MUSIC GENRES (90%); PODCASTING (78%); PERCUSSION INSTRUMENTS (71%)
JOE NOCERA,"January 22, 2016 Friday 00:00 EST",,True Scandal of Deflategate Lies in the N.F.L.'s Behavior; Sports Business,2023 words,The New York Times,SPORTS; football,,AMERICAN FOOTBALL (92%); SPORTS (92%); TEACHING & TEACHERS (90%); SPORTS & RECREATION (90%); SPORTS BUSINESS (90%); SCANDALS (89%); SPORTS & RECREATION EVENTS (78%); ATHLETES (78%); COLLEGE & UNIVERSITY PROFESSORS (78%); INVESTIGATIONS (75%); CASE STUDIES (73%); SCIENCE NEWS (71%); SCIENCE & TECHNOLOGY (71%); LAWYERS (70%); EVIDENCE (70%); INDICTMENTS (62%); CONSULTING SERVICES (60%); TEXT MESSAGING (60%); MOBILE & CELLULAR TELEPHONES (60%)
NICOLAS RAPOLD,"January 22, 2016 Friday 00:00 EST",,Review: 'Dirty Grandpa' Features Robert De Niro on the Prowl,350 words,The New York Times,MOVIES,,GRANDCHILDREN (90%); FILM DIRECTORS (90%); GRANDPARENTS (78%); THEATER COMPANIES (78%); DRAMA LITERATURE (77%); MOVIE RATINGS (72%); CONTENT RATINGS (72%); MASTURBATION (70%); CONTROLLED SUBSTANCES CRIME (64%); DRUG TRAFFICKING (64%)
GUY TREBAY,"January 21, 2016 Thursday 00:00 EST",,Fire at Ritz Hotel in Paris Stuns the Fashion Crowd,863 words,The New York Times,FASHION,,HOTELS & MOTELS (92%); BUILDING RENOVATION (90%); CONSTRUCTION (90%); HISTORIC DISTRICTS & STRUCTURES (90%); FASHION DESIGNERS (89%); FASHION SHOWS (89%); FASHION & APPAREL (89%); HAUTE COUTURE (89%); LUXURY GOODS (87%); STYLISTS & IMAGE CONSULTANTS (78%); READY TO WEAR (78%); MEN'S CLOTHING (78%); FIRES (77%); MANAGERS & SUPERVISORS (71%); JEWELRY RETAILERS (63%); JUSTICE DEPARTMENTS (50%)
JOHN HODGMAN,"January 21, 2016 Thursday 00:00 EST",,Judge John Hodgman on Tech-Firm Snacks; Judge John Hodgman,162 words,The New York Times,MAGAZINE,,NEW BUSINESSES (73%)
ANDY WEBSTER,"January 21, 2016 Thursday 00:00 EST",,Review: The Aliens Are Coming! The Aliens Are Coming!,296 words,The New York Times,MOVIES,,ADOLESCENTS (90%); YOUNG ADULT LITERATURE (89%); NOVELS & SHORT STORIES (89%); ADULTS (78%); TSUNAMIS (78%); NATURAL DISASTERS (77%); ARMED FORCES (69%); MOVIE RATINGS (69%); CONTENT RATINGS (69%); CHILD SOLDIERS (67%); POWER FAILURES (55%)
ANDY WEBSTER,"January 21, 2016 Thursday 00:00 EST",,"Review: In 'Ip Man 3,' Donnie Yen Brawls With Mike Tyson and Others",277 words,The New York Times,MOVIES,,MARTIAL ARTS (90%); MOVIE RATINGS (78%); CONTENT RATINGS (78%); BOXING (78%); PROFESSIONAL SPORTS (73%)
MANOHLA DARGIS,"January 21, 2016 Thursday 00:00 EST",,Review: 'Mojave' Looks at the Corrosive Effects of Hollywood,920 words,The New York Times,MOVIES,,FILM (90%); FILM DIRECTORS (90%); CELEBRITIES (90%); DRAMA LITERATURE (87%); MYSTERY & SUSPENSE FILMS (78%); ENTERTAINMENT & ARTS (78%); MOVIE INDUSTRY (78%); ACTORS & ACTRESSES (78%); INTERVIEWS (77%); WRITERS (71%)
NICOLAS RAPOLD,"January 21, 2016 Thursday 00:00 EST",,Review: 'Monster Hunt' Features a Baby Beast on the Run With Its Surrogate Parents,330 words,The New York Times,MOVIES,,INFANTS & TODDLERS (90%); FILM (86%); COMPUTER GRAPHICS (78%); PREGNANCY & CHILDBIRTH (77%); ANIMATION (73%); ARRESTS (71%); ACTORS & ACTRESSES (70%); CANNABIS (64%); MARIJUANA (50%)
A. O. SCOTT,"January 21, 2016 Thursday 00:00 EST",,Review: 'Aferim!' Traverses an Unforgiving Romania in the 1800s,1065 words,The New York Times,MOVIES,,FILM (92%); LANGUAGE & LANGUAGES (90%); ACADEMY AWARDS (90%); ENTERTAINMENT & ARTS AWARDS (90%); TRAVELLER COMMUNITIES (78%); RACE & ETHNICITY (76%); FOLKLORE (73%); MOVIE RELEASE DATES (71%); MOUNTAINS (66%); RELIGION (60%); JEWS & JUDAISM (60%)
JEANNETTE CATSOULIS,"January 21, 2016 Thursday 00:00 EST",,"Review: 'Martyrs,' a Slashing Remake, Centers on Two Friends",300 words,The New York Times,MOVIES,,FILM (90%); CULTS & SECTS (89%); ACTORS & ACTRESSES (78%)
STEPHEN HOLDEN,"January 21, 2016 Thursday 00:00 EST",,"Review: To Be Young, Gay and Muslim in Bed-Stuy",574 words,The New York Times,MOVIES,,RELIGION (92%); MUSLIMS & ISLAM (90%); LAW ENFORCEMENT (90%); GAYS & LESBIANS (90%); SPECIAL INVESTIGATIVE FORCES (89%); FILM (89%); VISUAL ARTISTS (78%); CITY LIFE (77%); POLICE FORCES (77%); SURVEILLANCE (73%); CRIMINAL OFFENSES (72%); MISDEMEANORS (67%); CONVENIENCE STORES (61%); AUTISM (50%); HURRICANE SANDY (50%); LOTTERIES (50%)
NEIL GENZLINGER,"January 21, 2016 Thursday 00:00 EST",,"Review: 'Prescription Thugs,' a Confessional Documentary on Substance Abuse",277 words,The New York Times,MOVIES,,PRESCRIPTION DRUGS (94%); DOCUMENTARY FILMS (91%); SUBSTANCE ABUSE (90%); PHARMACEUTICALS INDUSTRY (90%); STEROIDS (78%); ANALGESICS (78%); VISUAL ARTISTS (77%); PROFILES & BIOGRAPHIES (77%); PHARMACEUTICALS SECTOR PERFORMANCE (76%); CENTRAL NERVOUS SYSTEM DRUGS (72%); WRESTLING (68%); PROFESSIONAL SPORTS (68%); PAIN MANAGEMENT (68%)
MANOHLA DARGIS,"January 21, 2016 Thursday 00:00 EST",,Review: 'Synchronicity' Plays With Time and Love,345 words,The New York Times,MOVIES,,MOVIE INDUSTRY (90%); SCIENCE FICTION & FANTASY FILMS (90%); MOVIE RATINGS (78%); WRITERS (78%); CONTENT RATINGS (78%); FILM DIRECTORS (78%); VISUAL ARTISTS (78%); BUDGETS (76%)
HELEN T. VERONGOS,"January 21, 2016 Thursday 00:00 EST",,"Review: 'Rabid Dogs,' a Road Trip With French Robbers",303 words,The New York Times,MOVIES,,DOGS (91%); ROBBERY (90%); HOSTAGE TAKING (90%); FILM DIRECTORS (78%); FUR & LEATHER CLOTHING (77%)
MARCELLE SUSSMAN FISCHLER,"January 20, 2016 Wednesday 00:00 EST",,House Hunting in ... Mexico; International Real Estate,1240 words,The New York Times,REALESTATE,,REAL ESTATE (90%); BEACHES (77%); MARINE VESSELS (77%); SOLAR ENERGY (69%); FLOORING (69%)
JENNIFER SCHUESSLER,"January 20, 2016 Wednesday 00:00 EST",,"'Races of Mankind' Sculptures, Long Exiled, Return to Display at Chicago's Field Museum",1339 words,The New York Times,ARTS; design,,MUSEUMS & GALLERIES (94%); ANTHROPOLOGY & ARCHAEOLOGY (91%); EXHIBITIONS (91%); SCULPTURE (90%); ARTISTS & PERFORMERS (90%); RACE & ETHNICITY (90%); HUMANITIES & SOCIAL SCIENCE (90%); RACISM & XENOPHOBIA (89%); VISUAL ARTISTS (89%); SCIENCE NEWS (88%); SCIENCE & TECHNOLOGY (88%); INDIGENOUS PEOPLES (72%); HAPTIC TECHNOLOGY (67%); COMPUTER DISPLAY TECHNOLOGY (64%); GENES & CHROMOSOMES (64%); GRANDCHILDREN (50%)
YI-ZHENG LIAN,"January 20, 2016 Wednesday 00:00 EST",,Hong Kong's Missing Booksellers; Op-Ed Contributor,1273 words,The New York Times,OPINION,,EDITORIALS & OPINIONS (92%); CENSORSHIP (90%); POLITICAL PARTIES (90%); PUBLISHING (90%); MISSING PERSONS (90%); POLITICS (90%); EXECUTIVES (89%); BOOKSTORES (89%); CIVIL RIGHTS (84%); FREEDOM OF SPEECH (78%); FREEDOM OF PRESS (78%); SURVEILLANCE (75%); ARRESTS (69%); LAW ENFORCEMENT (69%); POLICE FORCES (69%); CONSTITUTIONAL LAW (65%); FREEDOM OF EXPRESSION (65%)
SHERYL GAY STOLBERG,"January 18, 2016 Monday 00:00 EST",,University of Cincinnati to Pay $4.85 Million to Family of Man Killed by Officer,767 words,The New York Times,US,,DEATHS & INJURIES BY POLICE (91%); COLLEGES & UNIVERSITIES (90%); SHOOTINGS (90%); LAW ENFORCEMENT (90%); DEATHS & OBITUARIES (90%); COMMUNITY COLLEGES (89%); FAMILY (89%); AFRICAN AMERICANS (78%); MURDER (78%); HOMICIDE (78%); SCHOOL SAFETY & SECURITY (78%); POLICE FORCES (78%); POLICE MISCONDUCT (78%); AGREEMENTS (76%); CITY LIFE (75%); CAMPUS SECURITY (75%); INTERVIEWS (73%); UNIVERSITY ADMINISTRATION (73%); POLICE BRUTALITY (72%); MISCONDUCT (69%); CITIES (65%); POLITICAL DEBATES (64%); DISMISSALS (60%)
THE EDITORIAL BOARD,"January 18, 2016 Monday 00:00 EST",,Shine a Light on Secret Real Estate Deals; Editorial,632 words,The New York Times,OPINION,,TREASURY DEPARTMENTS (92%); SHELL CORPORATIONS (92%); REAL ESTATE (92%); EDITORIALS & OPINIONS (92%); PUBLIC FINANCE AGENCIES & TREASURIES (90%); LAW ENFORCEMENT (90%); FRAUD & FINANCIAL CRIME (90%); TAX FRAUD (90%); TAX LAW (89%); BANKING & FINANCE (89%); TAX ENFORCEMENT (89%); TAXES & TAXATION (89%); FINANCIAL CRIME COUNTERMEASURES (89%); LIMITED LIABILITY COMPANIES (89%); MONEY LAUNDERING (89%); US STATE GOVERNMENT (78%); CONDOMINIUMS (78%); RESIDENTIAL CO-OWNERSHIP (78%); LEGISLATIVE BODIES (77%); POLITICAL CORRUPTION (77%); CORRUPTION (77%); BANKING & FINANCE REGULATION (77%); REGIONAL & LOCAL GOVERNMENTS (77%); LOBBYING (77%); TRENDS (77%); MORTGAGE BANKING & FINANCE (75%); US REPUBLICAN PARTY (75%); US DEMOCRATIC PARTY (75%); TITLE ABSTRACT & SETTLEMENT SERVICES (73%); SPECIAL INVESTIGATIVE FORCES (72%); EXECUTIVES (70%); MORTGAGE BANKING (63%)
